,Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,StatSymbol,HourOfDay,HoursFromStart,DayOfWeek,DayOfMonth,WeekOfYear,OpenCloseDifference,HighLowDifference,RSI,ATR
0,2021-05-17 14:00:00+02:00,216.6000061035156,217.3000030517578,216.4499969482422,217.1499938964844,0,0.0,0.0,.ALV,.ALV,14,1,0,17,20,-0.5499877929688068,0.850006103515625,40.0,0.5
1,2021-05-17 15:00:00+02:00,216.8000030517578,217.8999938964844,216.8000030517578,217.4499969482422,88885,0.0,0.0,.ALV,.ALV,15,2,0,17,20,-0.649993896484375,1.099990844726591,40.0,0.5
2,2021-05-17 16:00:00+02:00,217.6499938964844,217.8999938964844,216.9499969482422,217.6000061035156,111249,0.0,0.0,.ALV,.ALV,16,3,0,17,20,0.04998779296880684,0.9499969482422159,40.0,0.5
3,2021-05-17 17:00:00+02:00,217.4499969482422,217.8000030517578,217.3500061035156,217.8000030517578,65812,0.0,0.0,.ALV,.ALV,17,4,0,17,20,-0.350006103515625,0.4499969482422159,40.0,0.5
4,2021-05-18 09:00:00+02:00,218.5,219.6000061035156,218.0500030517578,218.6999969482422,127548,0.0,0.0,.ALV,.ALV,9,5,1,18,20,-0.1999969482421875,1.550003051757784,40.0,0.5
5,2021-05-18 10:00:00+02:00,219.0,219.1000061035156,218.0500030517578,218.5500030517578,123140,0.0,0.0,.ALV,.ALV,10,6,1,18,20,0.4499969482421875,1.050003051757784,40.0,0.5
6,2021-05-18 11:00:00+02:00,218.8999938964844,218.8999938964844,217.6499938964844,217.75,82518,0.0,0.0,.ALV,.ALV,11,7,1,18,20,1.1499938964844034,1.25,40.0,0.5
7,2021-05-18 12:00:00+02:00,217.9499969482422,218.1000061035156,217.3999938964844,217.6999969482422,64650,0.0,0.0,.ALV,.ALV,12,8,1,18,20,0.25,0.7000122070311932,40.0,0.5
8,2021-05-18 13:00:00+02:00,217.6999969482422,217.8999938964844,216.6499938964844,216.6999969482422,110756,0.0,0.0,.ALV,.ALV,13,9,1,18,20,1.0,1.25,40.0,0.5
9,2021-05-18 14:00:00+02:00,217.1999969482422,217.3000030517578,216.4499969482422,216.8999938964844,87350,0.0,0.0,.ALV,.ALV,14,10,1,18,20,0.3000030517577841,0.850006103515625,40.0,0.5
10,2021-05-18 15:00:00+02:00,216.75,217.4499969482422,216.4499969482422,216.5500030517578,81229,0.0,0.0,.ALV,.ALV,15,11,1,18,20,0.1999969482421875,1.0,40.0,0.5
11,2021-05-18 16:00:00+02:00,217.1999969482422,217.4499969482422,215.8500061035156,216.8500061035156,119085,0.0,0.0,.ALV,.ALV,16,12,1,18,20,0.3499908447265909,1.599990844726591,40.0,0.5
12,2021-05-18 17:00:00+02:00,216.8999938964844,217.3500061035156,216.6000061035156,217.3500061035156,73099,0.0,0.0,.ALV,.ALV,17,13,1,18,20,-0.45001220703119316,0.75,40.0,0.5
13,2021-05-19 09:00:00+02:00,215.8000030517578,216.4499969482422,214.6000061035156,215.0500030517578,66299,0.0,0.0,.ALV,.ALV,9,14,2,19,20,0.75,1.849990844726591,40.0,0.5
14,2021-05-19 10:00:00+02:00,215.25,215.75,214.3500061035156,214.5500030517578,137301,0.0,0.0,.ALV,.ALV,10,15,2,19,20,0.6999969482421875,1.3999938964844034,26.892002552910565,1.2751639622703563
15,2021-05-19 11:00:00+02:00,214.6999969482422,215.8999938964844,214.3500061035156,215.3000030517578,115964,0.0,0.0,.ALV,.ALV,11,16,2,19,20,-0.600006103515625,1.5499877929688068,36.123313735114635,1.304420331729202
16,2021-05-19 12:00:00+02:00,215.8000030517578,215.8999938964844,215.0,215.4499969482422,68264,0.0,0.0,.ALV,.ALV,12,17,2,19,20,0.350006103515625,0.8999938964844034,37.81447421383327,1.262824085414302
17,2021-05-19 13:00:00+02:00,215.1000061035156,215.6499938964844,213.75,213.8000030517578,99235,0.0,0.0,.ALV,.ALV,13,18,2,19,20,1.300003051757784,1.8999938964844034,28.785955123655782,1.3263619505743025
18,2021-05-19 14:00:00+02:00,214.6000061035156,214.6000061035156,212.8500061035156,212.8999938964844,141567,0.0,0.0,.ALV,.ALV,14,19,2,19,20,1.7000122070311932,1.75,25.245266846704773,1.3674444295223476
19,2021-05-19 15:00:00+02:00,213.8500061035156,213.8999938964844,212.3500061035156,212.6000061035156,181872,0.0,0.0,.ALV,.ALV,15,20,2,19,20,1.25,1.5499877929688068,24.177774639742875,1.3847056787985759
20,2021-05-19 16:00:00+02:00,213.5,213.5,211.0,213.1000061035156,254231,0.0,0.0,.ALV,.ALV,16,21,2,19,20,0.3999938964844034,2.5,29.5266304347178,1.4877832935792281
21,2021-05-19 17:00:00+02:00,212.4499969482422,214.1499938964844,211.8999938964844,213.6000061035156,144358,0.0,0.0,.ALV,.ALV,17,22,2,19,20,-1.150009155273409,2.25,34.502550923412905,1.5567803289799995
22,2021-05-20 09:00:00+02:00,215.1499938964844,215.3000030517578,213.6000061035156,213.8000030517578,51169,0.0,0.0,.ALV,.ALV,9,23,3,20,20,1.349990844726591,1.699996948242216,36.43584845845273,1.5695016313931716
23,2021-05-20 10:00:00+02:00,214.1000061035156,214.5,213.25,213.5500030517578,106947,0.0,0.0,.ALV,.ALV,10,24,3,20,20,0.5500030517577841,1.25,35.04339154524526,1.5416069905823861
24,2021-05-20 11:00:00+02:00,214.0500030517578,214.5,212.9499969482422,213.6999969482422,86159,0.0,0.0,.ALV,.ALV,11,25,3,20,20,0.350006103515625,1.5500030517578125,36.608703051800056,1.5423285658966543
25,2021-05-20 12:00:00+02:00,213.25,214.5500030517578,213.1000061035156,214.3999938964844,96556,0.0,0.0,.ALV,.ALV,12,26,3,20,20,-1.1499938964844034,1.449996948242216,43.45673196235972,1.534506910731403
26,2021-05-20 13:00:00+02:00,214.4499969482422,214.8000030517578,214.0500030517578,214.6999969482422,62970,0.0,0.0,.ALV,.ALV,13,27,3,20,20,-0.25,0.75,46.14207501240693,1.4689205128228162
27,2021-05-20 14:00:00+02:00,214.5500030517578,215.25,214.3999938964844,214.9499969482422,68285,0.0,0.0,.ALV,.ALV,14,28,3,20,20,-0.399993896484375,0.8500061035155966,48.34368948737827,1.4178003015901066
28,2021-05-20 15:00:00+02:00,214.9499969482422,215.25,214.1499938964844,214.6999969482422,96370,0.0,0.0,.ALV,.ALV,15,29,3,20,20,0.25,1.1000061035155966,46.30521067132653,1.3918414969176227
29,2021-05-20 16:00:00+02:00,214.75,214.75,214.0500030517578,214.3000030517578,88707,0.0,0.0,.ALV,.ALV,16,30,3,20,20,0.4499969482421875,0.6999969482421875,43.1687898770545,1.335902339935328
30,2021-05-20 17:00:00+02:00,214.3999938964844,214.4499969482422,214.0500030517578,214.3000030517578,101387,0.0,0.0,.ALV,.ALV,17,31,3,20,20,0.09999084472659092,0.399993896484375,43.1687898770545,1.2609360450338918
31,2021-05-21 09:00:00+02:00,214.6499938964844,215.9499969482422,214.4499969482422,214.8000030517578,41730,0.0,0.0,.ALV,.ALV,9,32,4,21,20,-0.15000915527340908,1.5,48.250358686096305,1.2918316805759542
32,2021-05-21 10:00:00+02:00,215.75,215.75,214.25,215.0,86691,0.0,0.0,.ALV,.ALV,10,33,4,21,20,0.75,1.5,50.16965848789764,1.3082317030787514
33,2021-05-21 11:00:00+02:00,214.6999969482422,215.6499938964844,214.6499938964844,215.1999969482422,210806,0.0,0.0,.ALV,.ALV,11,34,4,21,20,-0.5,1.0,52.083496929976334,1.284125710118381
34,2021-05-21 12:00:00+02:00,215.25,215.8999938964844,214.9499969482422,215.3999938964844,213360,0.0,0.0,.ALV,.ALV,12,35,4,21,20,-0.14999389648440342,0.9499969482422159,53.9866762034322,1.2581703226426706
35,2021-05-21 13:00:00+02:00,215.6000061035156,216.5500030517578,215.3500061035156,216.5,279491,0.0,0.0,.ALV,.ALV,13,36,4,21,20,-0.8999938964844034,1.199996948242216,62.75013740180736,1.2536794466928038
