,Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,StatSymbol,HourOfDay,HoursFromStart,DayOfWeek,DayOfMonth,WeekOfYear,OpenCloseDifference,HighLowDifference,RSI,ATR
0,2021-05-17 14:00:00+02:00,74.81999969482422,75.05999755859375,74.72000122070312,75.05999755859375,0,0.0,0.0,.HEI,.HEI,14,1,0,17,20,-0.23999786376953125,0.339996337890625,40.0,0.5
1,2021-05-17 15:00:00+02:00,74.80000305175781,75.31999969482422,74.80000305175781,75.05999755859375,18118,0.0,0.0,.HEI,.HEI,15,2,0,17,20,-0.2599945068359375,0.5199966430664062,40.0,0.5
2,2021-05-17 16:00:00+02:00,75.12000274658203,75.31999969482422,74.94000244140625,75.22000122070312,43229,0.0,0.0,.HEI,.HEI,16,3,0,17,20,-0.09999847412109375,0.37999725341796875,40.0,0.5
3,2021-05-17 17:00:00+02:00,75.04000091552734,75.23999786376953,75.0199966430664,75.22000122070312,35539,0.0,0.0,.HEI,.HEI,17,4,0,17,20,-0.18000030517578125,0.220001220703125,40.0,0.5
4,2021-05-18 09:00:00+02:00,76.0,76.81999969482422,75.68000030517578,75.95999908447266,44788,0.0,0.0,.HEI,.HEI,9,5,1,18,20,0.04000091552734375,1.1399993896484375,40.0,0.5
5,2021-05-18 10:00:00+02:00,75.69999694824219,76.0999984741211,75.68000030517578,75.76000213623047,51979,0.0,0.0,.HEI,.HEI,10,6,1,18,20,-0.06000518798828125,0.4199981689453125,40.0,0.5
6,2021-05-18 11:00:00+02:00,76.05999755859375,76.05999755859375,75.73999786376953,76.0199966430664,49503,0.0,0.0,.HEI,.HEI,11,7,1,18,20,0.04000091552734375,0.31999969482421875,40.0,0.5
7,2021-05-18 12:00:00+02:00,75.91999816894531,76.19999694824219,75.83999633789062,75.95999908447266,66780,0.0,0.0,.HEI,.HEI,12,8,1,18,20,-0.04000091552734375,0.3600006103515625,40.0,0.5
8,2021-05-18 13:00:00+02:00,75.91999816894531,76.0199966430664,75.76000213623047,75.91999816894531,34897,0.0,0.0,.HEI,.HEI,13,9,1,18,20,0.0,0.2599945068359375,40.0,0.5
9,2021-05-18 14:00:00+02:00,75.77999877929688,76.04000091552734,75.76000213623047,75.94000244140625,38425,0.0,0.0,.HEI,.HEI,14,10,1,18,20,-0.160003662109375,0.279998779296875,40.0,0.5
10,2021-05-18 15:00:00+02:00,75.87999725341797,76.04000091552734,75.69999694824219,75.76000213623047,53251,0.0,0.0,.HEI,.HEI,15,11,1,18,20,0.1199951171875,0.34000396728515625,40.0,0.5
11,2021-05-18 16:00:00+02:00,75.9800033569336,76.0,75.4800033569336,75.73999786376953,112154,0.0,0.0,.HEI,.HEI,16,12,1,18,20,0.2400054931640625,0.5199966430664062,40.0,0.5
